순번,구,시설명(해당동),생산량/일,위 치,위도,경도,지정일자,수질,지정구분,개방여부,데이터기준일자
1,덕진구,덕진체련공원(덕진동),205,전라북도 전주시 덕진구소리로 54,35.8531633,127.1408494,1994-02-10,음용,정부지원,Y,2020-10-31
2,덕진구,아중하인교공원(우아2동),150,전라북도 전주시 덕진구인교로 25-5,35.8249167,127.171325,2001-01-01,음용,정부지원,Y,2020-10-31
3,덕진구,한신휴아파트(인후1동),190,전라북도 전주시 덕진구안덕원로 251,35.8386056,127.1546786,1992-01-01,음용,정부지원,N,2020-10-31
4,덕진구,덕진종합경기장(덕진동),483,전라북도 전주시 덕진구덕진동1가,35.838925,127.1279389,1986-01-01,생활,정부지원,N,2020-10-31
5,덕진구,농협도지회(인후2동),193,전라북도 전주시 덕진구백제대로 729,35.8458797,127.1488862,1984-07-01,음용,공공시설,Y,2020-10-31
6,덕진구,인후초등학교(인후3동),150,전라북도 전주시 덕진구무삼지로 67,35.8317482,127.1624884,2003-01-01,생활,공공시설,Y,2020-10-31
7,덕진구,전북대학교(덕진동),320,전라북도 전주시 덕진구백제대로 567,35.8462574,127.1320049,2003-01-01,생활,공공시설,Y,2020-10-31
8,덕진구,솔빛중학교(송천1동),150,전라북도 전주시 덕진구솔내6길 33 ,35.8593635,127.1249256,2003-01-01,생활,공공시설,Y,2020-10-31
9,덕진구,장동골프하우스(동산동),150,전라북도 전주시 덕진구온고을로 672,35.8636751,127.0652985,2007-01-02,생활,민간시설,Y,2020-10-31
10,덕진구,대우초원아파트(인후2동),200,전라북도 전주시 덕진구백동1길 38,35.8482975,127.1468636,1992-01-03,생활,민간시설,Y,2020-10-31
11,덕진구,전주침례교회(인후2동),100,전라북도 전주시 덕진구안덕원로 172 ,35.833931,127.1466899,2005-04-10,음용,민간시설,Y,2020-10-31
12,덕진구,제일1차아파트(인후3동),200,전라북도 전주시 덕진구석소로 29,35.8297925,127.1679657,2003-01-01,생활,민간시설,Y,2020-10-31
13,덕진구,전북대학교병원(금암2동),400,전라북도 전주시 덕진구건지로 20 ,35.8468571,127.14125,2003-01-01,생활,민간시설,Y,2020-10-31
14,덕진구,호성주공1단지(호성동),200,전라북도 전주시 덕진구소리로 179,35.8587339,127.1506613,2003-01-01,생활,민간시설,Y,2020-10-31
15,덕진구,송천주공아파트(송천1동),200,전라북도 전주시 덕진구붓내3길 29 ,35.867303,127.1253902,2008-01-01,생활,민간시설,Y,2020-10-31
16,덕진구,한강아파트(조촌동),150,전라북도 전주시 덕진구쪽구름로 133,35.8725349,127.0828352,2003-01-01,생활,민간시설,Y,2020-10-31
17,덕진구,사랑주유소(조촌동),200,전라북도 전주시 덕진구번영로 477,35.8743971,127.059112,2005-05-06,음용,민간시설,Y,2020-10-31
18,덕진구,시온성교회(진북동),100,전라북도 전주시 덕진구공북5길 55,35.8494275,127.080236,2011-01-01,생활,민간시설,Y,2020-10-31
19,덕진구,㈜메가월드 스파,500,"전라북도 전주시 덕진구동부대로 1229, B동 5층",35.852099,127.0870364,2009-01-01,생활,민간시설,N,2020-10-31
20,덕진구,전북교육문화회관,150,전라북도 전주시 덕진구안덕원로 71,35.494527,127.0081499,1999-01-01,생활,지자체시설,N,2020-10-31
21,덕진구,전주콩나물영농조합(우아2동),180,전라북도 전주시 덕진구수리재길 13,35.8442149,127.1822635,2012-07-04,음용,민간시설,N,2020-10-31
22,덕진구,전주콩나물영농조합(우아2동),180,전라북도 전주시 덕진구수리재길 13,35.8442149,127.1822635,2012-04-04,음용,민간시설,N,2020-10-31
23,덕진구,전주용소초등학교(송천2동),115,전라북도 전주시 덕진구송천4길 38,35.8622737,127.1177625,2012-07-09,생활,공공시설,N,2020-10-31
24,덕진구,(유)영진-태평양수영장(금암1동),410,전라북도 전주시 덕진구기린대로 358 영진빌딩 ,35.8352864,127.1356379,2012-07-09,생활,민간시설,N,2020-10-31
25,덕진구,(주)전주주조(조촌동),100,전라북도 전주시 덕진구신성길 25-31 ,35.8811433,127.033498,2012-07-11,음용,민간시설,Y,2020-10-31
26,덕진구,우석고등학교(동산동),114,전라북도 전주시 덕진구쪽구름2길 22 ,35.8745948,127.0780499,2012-07-25,생활,공공시설,N,2020-10-31
27,덕진구,전북여자고등학교(동산동),130,전라북도 전주시 덕진구여산로 232 ,35.8733407,127.0850468,2012-07-25,생활,공공시설,N,2020-10-31
28,완산구,기린연립 (중노송동),160,"전라북도 전주시 완산구 견훤로 100-10 (중노송동, 기린주택)",35.491427,127.9439,1986-12-20,음용수,정부지원시설,Y,2020-10-31
29,완산구,풍년주택 (평화동),1980,"전라북도 전주시 완산구 장승배기로 292-11 (평화동1가, 풍년주택)",35.475493,127.8385,1994-12-07,음용수,정부지원시설,Y,2020-10-31
30,완산구,현대아파트 (평화동),164,전라북도 전주시 완산구 소대배기로 33 (평화동2가),35.471496,127.8349,1994-01-01,음용수,공공시설,Y,2020-10-31
31,완산구,약수공원 (삼천동),1990,전라북도 전주시 완산구 상거마4길 15 (삼천동1가),35.474931,127.7157,1996-12-31,생활용수,정부지원시설,Y,2020-10-31
32,완산구,평화주공3단지 (평화동),1990,"전라북도 전주시 완산구 덕적골2길 10 (평화동1가, 평화주공3단지아파트)",35.474995,127.8236,1996-12-31,음용수,정부지원시설,Y,2020-10-31
33,완산구,동부화재 (경원동),120,"전라북도 전주시 완산구 전라감영5길 10 (경원동1가, 동부화재빌딩)",35.485946,127.8484,1999-01-01,음용수,공공시설,N,2020-10-31
34,완산구,남초등학교 급수시설 (서서학동),151,"전라북도 전주시 완산구 장승배기로 376 (서서학동, 전주남초등학교)",35.481153,127.9362,2000-03-02,생활용수,공공시설,Y,2020-10-31
35,완산구,정혜사(생태습지) (효자동),200,전라북도 전주시 완산구 외칠봉1길 22 (효자동1가),35.48104,127.8159,1995-01-01,생활용수,자치단체자체시설,Y,2020-10-31
36,완산구,엘지유플러스 (중화산동),340,전라북도 전주시 완산구 백제대로 323 (중화산동2가),35.49189,127.7206,2000-01-01,생활용수,민간시설,N,2020-10-31
37,완산구,삼천주공6단지아파트 (삼천동),150,"전라북도 전주시 완산구 삼천천변1길 9 (삼천동1가, 삼천주공6단지)",35.474558,127.6412,2000-01-03,생활용수,공공시설,Y,2020-10-31
38,완산구,용흥초등학교 (삼천동),130,"전라북도 전주시 완산구 삼천천변1길 16 (삼천동1가, 용흥초등학교)",35.474043,127.644,2001-01-01,생활용수,공공시설,Y,2020-10-31
39,완산구,한양병원(평화동1가 711-1),140,전라북도 전주시 완산구 장승배기로 204 (평화동1가),35.474611,127.864,2001-01-01,음용수,공공시설,Y,2020-10-31
40,완산구,동암고등학교 (효자동),100,"전라북도 전주시 완산구 소태정4길 1 (효자동2가, 동암고등학교)",35.482342,127.6436,2002-01-02,음용수,공공시설,Y,2020-10-31
41,완산구,평화1공원 (평화동),230,"전라북도 전주시 완산구 평화15길 13-6 (평화동1가, 스카이 항공 카독크)",35.473089,127.8158,2004-01-30,음용수,정부지원시설,Y,2020-10-31
42,완산구,전통문화관 (교동),150,"전라북도 전주시 완산구 전주천동로 20 (교동, 전통문화센터)",35.484396,127.9321,2004-01-07,생활용수,자치단체자체시설,Y,2020-10-31
43,완산구,거북목욕탕 (태평동),150,전라북도 전주시 완산구 대동로 65-3 (태평동),35.492241,127.8343,2004-01-01,음용수,민간시설,N,2020-10-31
44,완산구,전주영상미디어고교 (중화산동),114,"전라북도 전주시 완산구 따박골2길 21 (중화산동2가, 전주상업정보고등학교)",35.483781,127.7315,2004-01-01,생활용수,공공시설,Y,2020-10-31
45,완산구,전주근영여자고등학교 급수시설 (중화산동),120,전라북도 전주시 완산구 영경1길 11 (중화산동2가),35.491029,127.7288,1982-03-02,음용수,공공시설,Y,2020-10-31
46,완산구,효자초등학교 급수시설 (?P동),150,"전라북도 전주시 완산구 송정로 47 (효자동1가, 전주효자초등학교)",35.481192,127.7219,2004-01-01,생활용수,공공시설,Y,2020-10-31
47,완산구,해성고등학교 (삼천동),180,전라북도 전주시 완산구 계룡산길 88 (삼천동2가),35.471621,127.686,2004-01-01,음용수,공공시설,Y,2020-10-31
48,완산구,피노키오어린이 집 (평화동),110,전라북도 전주시 완산구 평화5길 24-21 (평화동2가),35.47347,127.8108,2004-01-01,음용수,공공시설,Y,2020-10-31
49,완산구,삼천초등학교 (삼천동),150,"전라북도 전주시 완산구 성지산로 38 (삼천동1가, 전주삼천초등학교)",35.48017,127.7226,2004-01-02,생활용수,공공시설,Y,2020-10-31
50,완산구,온고을여자고등학교(전주사대부설고등학교) (효자동),200,"전라북도 전주시 완산구 천잠로 313 (효자동3가, 전주사대부설고등학교)",35.485501,127.5377,2004-01-02,생활용수,공공시설,Y,2020-10-31
51,완산구,완산고등학교 (삼천동),110,전라북도 전주시 완산구 능안자구길 55 (삼천동3가),35.48812,127.5138,2011-02-01,생활용수,공공시설,Y,2020-10-31
52,완산구,우성아파트 (삼천동),100,"전라북도 전주시 완산구 백제대로 13 (삼천동1가, 우성아파트)",35.47459,127.7503,2005-05-01,음용수,민간시설,Y,2020-10-31
53,완산구,삼천탕 (삼천동),150,"전라북도 전주시 완산구 백제대로 69 (삼천동1가, 삼천탕)",35.48153,127.7379,2006-06-07,음용수,민간시설,Y,2020-10-31
54,완산구,전주전일고등학교 (효자동),400,전라북도 전주시 완산구 우전로 249 (효자동2가),35.485645,127.5591,2006-05-01,생활용수,공공시설,Y,2020-10-31
55,완산구,완산여자고등학교 (평화동),120,전라북도 전주시 완산구 덕적골1길 60 (평화동1가),35.473104,127.82,2006-05-01,생활용수,민간시설,N,2020-10-31
56,완산구,지리산대명사우나 (서신동),200,"전라북도 전주시 완산구 서신로 62 (서신동, 지리산빌딩)",35.495123,127.6583,2006-05-01,음용수,민간시설,Y,2020-10-31
57,완산구,신흥고교 (중화산동),100,전라북도 전주시 완산구 서원로 399 (중화산동1가),35.49379,127.8146,2006-05-01,생활용수,공공시설,Y,2020-10-31
58,완산구,우석대한방병원 (중화산동),110,"전라북도 전주시 완산구 어은로 46 (중화산동2가, 우석대학교부속한방병원)",35.49249,127.7428,2006-05-01,음용수,민간시설,Y,2020-10-31
59,완산구,전주선화학교 (효자동),100,"전라북도 전주시 완산구 효자로 39 (효자동3가, 전주선화학교)",35.491389,127.5244,2006-01-02,생활용수,공공시설,Y,2020-10-31
60,완산구,서원초등학교 (효자동),110,"전라북도 전주시 완산구 오두정길 45 (효자동1가, 전주서원초등학교)",35.483631,127.7922,2007-07-04,생활용수,공공시설,Y,2020-10-31
61,완산구,삼성아파트 (서서학동),150,"전라북도 전주시 완산구 장승배기7길 18 (서서학동, 삼성맨션)",35.481107,127.8434,2007-06-05,생활용수,공공시설,Y,2020-10-31
62,완산구,서곡어린이공원 (효자동),100,전라북도 전주시 완산구 황강서원5길 35 (효자동3가),35.494581,127.5578,2010-04-15,생활용수,정부지원시설,Y,2020-10-31
63,완산구,지곡초등학교 (평화동),175,전라북도 전주시 완산구 평화로 85 (평화동2가),35.47338,127.7575,2011-01-03,음용수,공공시설,Y,2020-10-31
64,완산구,양지초등학교 (평화동),155,전라북도 전주시 완산구 양지2길 11-26 (평화동2가),35.473417,127.7347,2011-01-03,생활용수,공공시설,Y,2020-10-31
65,완산구,서곡주공아파트 (효자동),306,"전라북도 전주시 완산구 서곡로 8 (효자동3가, 서곡주공아파트)",35.495379,127.5459,2011-01-03,생활용수,공공시설,Y,2020-10-31
66,완산구,효정중학교 (효자동),100,전라북도 전주시 완산구 안행로 127 (효자동1가),35.482329,127.7595,2012-01-02,생활용수,공공시설,Y,2020-10-31
67,완산구,동암재활학교 (효자동),100,"전라북도 전주시 완산구 천잠로 275 (효자동3가, 동암재활원)",35.483788,127.534,2013-01-02,생활용수,공공시설,Y,2020-10-31
68,완산구,전주화산초등학교 (중화산동),150,전라북도 전주시 완산구 따박골7길 20 (중화산동2가),35.483448,127.7464,2014-10-16,생활용수,공공시설,Y,2020-10-31
69,완산구,기전여자고등학교 (효자동),100,전라북도 전주시 완산구 유연로 133 (효자동3가),35.49373,127.5599,2014-10-30,생활용수,공공시설,Y,2020-10-31
70,완산구,전주교육대학교 (동서학동),2184,"전라북도 전주시 완산구 서학로 50 (동서학동, 전주교육대학교)",35.483362,127.9169,2016-12-22,음용수,공공시설,Y,2020-10-31
71,완산구,전주시설관리공단(화산체육관) (중화산동),752,"전라북도 전주시 완산구 백제대로 310 (중화산동2가, 화산체육관)",35.491531,127.7283,2016-12-30,생활용수,공공시설,Y,2020-10-31
