번호,기업명,소재지주소,지적,연면적,생산품목,위도,경도,데이터기준일자
1,(주)강동오 케익,전라북도 전주시 덕진구 오신2길24-21(성덕동),3967,"제조시설 369.19, 부대시설 439.19","쌀과자, 케익 등",35.885034,127.033267,2020-10-31
2,(주)전주 이강주,전라북도 전주시 덕진구 매암길28(원동),1390,제조시설 등 992,"이강주, 복분자",35.873456,127.026962,2020-10-31
3,(주)하예랑,전라북도 전주시 덕진구 번영로 230-7(성덕동),9649,"제조시설 760.80, 부대시설 1,055.45","수산물(고등어, 병어, 삼치, 연어 등)",35.875656,127.033857,2020-10-31
4,(주)전주 주조,전라북도 전주시 덕진구 신성길25-31(성덕동),6939,"제조시설 1,798","막걸리, 모주",35.881025,127.033492,2020-10-31
5,전주우리밀 영농조합,전라북도 전주시 덕진구 용덕길21(용정동),4700,"공장건물 230.4, 보관창고(3동) 1,071㎡, 체험장 493",밀가루 제분,35.876858,127.05001,2020-10-31
6,찬드림,전라북도 전주시 덕진구 신성길80(성덕동),3967,공장건물 788.65,반찬류,35.884383,127.037439,2020-10-31
7,부공(파프리카),전라북도 전주시 덕진구 만경강남로611(강흥동),33000,유리온실 3.3ha,파프리카재배,35.891517,127.009208,2020-10-31
8,화훼종합유통센터(장미),전라북도 전주시 덕진구 도강길109-80(강흥동),19835,"화훼선별장 5,042 저온저장고 770 유리온실 10,096","장미, 국화",35.886153,127.008012,2020-10-31
9,고려자연 식품,전라북도 전주시 덕진구 여실길34(여의동),7871,"공장건물 2,015","벌꿀, 유자차 등",35.865633,127.067971,2020-10-31
10,천년미소 전통식품,전라북도 전주시 덕진구 오신2길 46-18(성덕동),8893,공장건물 804.76,순대,35.884777,127.032627,2020-10-31
11,농업회사법인 ㈜이삭,전라북도 전주시 덕진구 신성길 55(성덕동),3967,공장건물 800.39,국수,35.882065,127.036094,2020-10-31
