순번,브랜드,소재지,대리점명,전화번호,지번주소,도로명주소,AS지정점,전기자전거 취급점,경도,위도,데이터기준일자
1,알톤자전거,전라북도,알톤자전거평화동대리점,063-228-3005,전라북도 전주시 완산구 평화동2가 229,,N,N,127.1343722,35.7900607,2020-10-31
2,알톤자전거,전라북도,유한회사전북엠티비,063-252-7785,전라북도 전주시 완산구 중화산동2가 700-2,,N,N,127.122364,35.8229065,2020-10-31
3,알톤자전거,전라북도,자이언트,,전라북도 전주시 완산구 효자동3가 1621-15 1층전관,,Y,Y,127.1024261,35.82547,2020-10-31
4,알톤자전거,전라북도,자전거랑,063-284-0871,전라북도 전주시 완산구 서서학동 209-5,,N,N,127.14948,35.8100583,2020-10-31
5,알톤자전거,전라북도,자전거백화점,063-224-3701,전라북도 전주시 완산구 삼천동1가601-20,,N,N,127.1187446,35.798812,2020-10-31
6,알톤자전거,전라북도,자전거천국,,전라북도 전주시 완산구 서완산동2가 359-3,,N,N,127.132991,35.8080861,2020-10-31
7,알톤자전거,전라북도,코렉스자전거,063-228-7161,전라북도 전주시 완산구 효자동1가 282-6,,N,N,127.1170141,35.8059287,2020-10-31
8,알톤자전거,전라북도,남부오토바이,,전라북도 전주시 완산구 서신동 818-10,,N,N,127.1138249,35.8303118,2020-10-31
9,알톤자전거,전라북도,남부자전거,063-285-7394,전라북도 전주시 완산구 중화산동1가 162-36,,N,N,127.1339593,35.8137427,2020-10-31
10,알톤자전거,전라북도,바이크박스,063-237-2911,전라북도 전주시 완산구 효자동1가 408-1,,N,N,127.1111309,35.8076371,2020-10-31
11,알톤자전거,전라북도,바이크타운,063-232-2182,전라북도 전주시 완산구 평화동1가583-15,,N,N,127.1363113,35.7971221,2020-10-31
12,알톤자전거,전라북도,보광자전거,063-284-0871,전라북도 전주시 완산구 서서학동209-5,,N,N,127.1516786,35.8087641,2020-10-31
13,알톤자전거,전라북도,보광자전거,063-255-6061,전라북도 전주시 완산구 서신동 401-14,,N,N,127.1176183,35.8268306,2020-10-31
14,알톤자전거,전라북도,사이클피아,063-271-8688,전라북도 전주시 완산구 효자동3가1733-1,,N,N,127.0971973,35.8133474,2020-10-31
15,알톤자전거,전라북도,알톤자전거 삼천점,063-225-8119,전라북도 전주시 완산구 삼천동1가 696-9,,Y,Y,127.1180758,35.7928071,2020-10-31
16,알톤자전거,전라북도,알톤자전거 전주점(직영),063-225-8119,전라북도 전주시 완산구 효자동1가 696-9,,N,N,127.119397,35.793262,2020-10-31
17,알톤자전거,전라북도,알톤자전거 중화산점,063-224-3701,전라북도 전주시 완산구삼천동1가 585-1,전라북도 전주시 완산구중산로 38,N,N,127.1204453,35.8173825,2020-10-31
18,알톤자전거,전라북도,덕진자전거,063-275-7987,전라북도 전주시 덕진구 덕진동2가 130-3,,N,N,127.1156636,35.8481507,2020-10-31
19,알톤자전거,전라북도,알톤자전거 덕진점,063-277-5700,전라북도 전주시 덕진구 덕진동1가 1279-11,,Y,Y,127.1235567,35.8441906,2020-10-31
20,알톤자전거,전라북도,알톤자전거모래내점,,전라북도 전주시 덕진구 진북동 348-2,전라북도 전주시 덕진구 건산로 30,Y,Y,127.1411783,35.8335983,2020-10-31
21,알톤자전거,전라북도,에코바이크,063-255-2911,전라북도 전주시 덕진구 덕진동2가 200-10,,N,N,127.120745,35.8461444,2020-10-31
22,알톤자전거,전라북도,자전거랜드,063-212-3007,전라북도 전주시 덕진구 동산동 565-20,,N,N,127.120745,35.8461444,2020-10-31
23,알톤자전거,전라북도,전북대구내자전거점,063-272-5663,전라북도 전주시 덕진구 덕진동1가 664-12,,N,N,127.1298568,35.8494717,2020-10-31
24,알톤자전거,전라북도,착한자전거,063-213-0110,전라북도 전주시 덕진구 덕진동1가 1220 종합경기장159-1,,N,N,127.1248051,35.8394423,2020-10-31
25,알톤자전거,전라북도,코렉스웅이아버지자전거,063-244-1530,전라북도 전주시 덕진구 우아동3가 602-48,,N,N,127.1546547,35.8537522,2020-10-31
26,알톤자전거,전라북도,하나기프트,063-214-0815,전라북도 전주시 덕진구 여의동 871-1,,N,N,127.0743688,35.8538926,2020-10-31
27,삼천리,전라북도,동부점,063-288-6765,전라북도 전주시 완산구 경원동3가 1-7,,N,N,127.1524424,35.8206744,2020-10-31
28,삼천리,전라북도,삼천점,063-252-9229,전라북도 전주시 완산구 삼천1동 602-2,,N,Y,127.117054,35.7981601,2020-10-31
29,삼천리,전라북도,서곡점,063-253-7003,전라북도 전주시 완산구 효자동3가 1463-6,,N,N,127.101294,35.8332584,2020-10-31
30,삼천리,전라북도,서서학점,063-283-0206,전라북도 전주시 완산구 서서학동 337-21,,N,N,127.1463262,35.8009166,2020-10-31
31,삼천리,전라북도,서신점,063-223-2362,전라북도 전주시 완산구 서신동 818-15,,N,N,127.1130994,35.8302923,2020-10-31
32,삼천리,전라북도,전주남부점,063-284-0871,전라북도 전주시 완산구 서서학동 209-5,,N,Y,127.14948,35.8100583,2020-10-31
33,삼천리,전라북도,전주대점,063-223-6020,전라북도 전주시 완산구 효자동3가 1730-10,,N,N,127.0968274,35.8119375,2020-10-31
34,삼천리,전라북도,평화점,063-227-9916,전라북도 전주시 완산구 평화동2가 312-6 우미아파트상가1,,N,Y,127.1291916,35.788393,2020-10-31
35,삼천리,전라북도,효자점,063-224-6359,전라북도 전주시 완산구 효자동1가 302-8,,Y,Y,127.1228933,35.8079717,2020-10-31
36,삼천리,전라북도,덕진점,063-272-6796,전라북도 전주시 덕진구 덕진동1가 1275-20,전라북도 전주시 덕진구 사평로 74,N,Y,127.1237167,35.8432016,2020-10-31
37,삼천리,전라북도,동산점,063-211-8655,전라북도 전주시 덕진구 반월동 247-5,전라북도 전주시 덕진구 쪽구름로 81,N,Y,127.075705,35.8725576,2020-10-31
38,삼천리,전라북도,로드MTB점,063-252-4321,전라북도 전주시 덕진구 금암동 697-15,전라북도 전주시 덕진구 기린대로 373,Y,Y,127.1339914,35.8360091,2020-10-31
39,삼천리,전라북도,송천서부점,063-277-4217,전라북도 전주시 덕진구 송천동1가 833-4,전라북도 전주시 덕진구 시천로 52,N,Y,127.1146928,35.8639841,2020-10-31
40,삼천리,전라북도,송천점,063-273-3002,전라북도 전주시 덕진구 송천동1가 395-16 송학@상가107호,,N,Y,127.1212463,35.8584295,2020-10-31
41,삼천리,전라북도,아중점,063-244-3004,전라북도 전주시 덕진구 인후동1가 806-6,전라북도 전주시 덕진구 건산로 243,N,Y,127.1636175,35.8348233,2020-10-31
42,삼천리,전라북도,인후동점,063-241-3082,전라북도 전주시 덕진구 인후동1가 951-2 아중제일아파트상가 207-104,,N,N,127.1680375,35.8258917,2020-10-31
43,삼천리,전라북도,전주지삼점,063-251-3015,전라북도 전주시 덕진구 송천동2가 189-2 현대@상가 205,,Y,Y,127.1247483,35.8644266,2020-10-31
44,삼천리,전라북도,호성점,,전라북도 전주시 덕진구 우아동3가 602-4,,N,Y,127.1548259,35.854127,2020-10-31
45,스마트,전라북도,금강자전거,063-272-5663,전라북도 전주시 덕진구 덕진동1가 1327-37 전북대학 내,,N,N,127.1276573,35.8511273,2020-10-31
46,스마트,전라북도,자전거랜드,063-212-3007,전라북도 전주시 덕진구 동산동 565-20,,N,N,127.0791477,35.8671774,2020-10-31
47,스마트,전라북도,마이바이크,063-211-7880,전라북도 전주시 덕진구 장동 1086,,Y,N,127.0627257,35.840899,2020-10-31
48,스마트,전라북도,스마트자전거,063-241-4279,전라북도 전주시 덕진구 우아동2가 813-2,전라북도 전주시 덕진구 진버들6길 31,N,Y,127.1657654,35.8381377,2020-10-31
49,스마트,전라북도,중앙자전거,063-272-8395,전라북도 전주시 덕진구 진북동 391-84,,N,Y,127.1385034,35.8310503,2020-10-31
50,스마트,전라북도,평화자전거,,전라북도 전주시 완산구 평화동2가 299-1,,Y,N,127.1314843,35.7892583,2020-10-31
