사업구분,사업명,사업부서,사업기간,일괄모집인원수,별도모집인원수
시책일자리사업,전주공예품전시관 활성화사업,문화정책과,3.2~6.30,2,0
시책일자리사업,전주공예품전시관 활성화사업,문화정책과,7.5~10.31,2,0
시책일자리사업,전주청년 상상놀이터 운영,일자리청년정책과,3.2~6.30,2,0
시책일자리사업,전주청년 상상놀이터 운영,일자리청년정책과,7.5~10.31,2,0
시책일자리사업,"POST쉼표, 청년커뮤니티 운영",일자리청년정책과,3.2~6.30,1,0
시책일자리사업,"POST쉼표, 청년커뮤니티 운영",일자리청년정책과,7.5~10.31,1,0
다문화가정지원사업,다문화가정외국문화 전도사 지원사업,완산구 가족청소년과,3.2~6.30,0,11
다문화가정지원사업,다문화가정외국문화 전도사 지원사업,완산구 가족청소년과,7.5~10.31,0,11
다문화가정지원사업,다문화가정외국문화 전도사 지원사업,덕진구 가족청소년과,3.2~6.30,0,11
다문화가정지원사업,다문화가정외국문화 전도사 지원사업,덕진구 가족청소년과,7.5~10.31,0,11
