업소명,대표자,새주소(구주소),주요취급품목, 가격(원) ,전화번호,위도,경도,데이터기준일자
각시미용실,이주연,전주시 완산구 효동2길 21-14,파마(성인),"15,000",236-8135,,,2020.11.1
마당재미용실,문두운,전주시 완산구 마당재4길 16,파마,"15,000",283-8169,,,2020.11.1
명보헤어,김인자,전주시 완산구 팔달로 101-26,커트,"10,000",282-1643,,,2020.11.1
지연미장원,이영자,전주시 완산구 공북로 86,파마(성인),"20,000",272-8518,,,2020.11.1
초희미용실,박순란,"전주시 완산구 모악로 4683, 우미아파트 상가",커트(성인),"8,000",226-3701,,,2020.11.1
동래분식,양명구,전주시 완산구 풍남문2길 39,칼국수,"4,500",288-4607,,,2020.11.1
만나별미,김혜숙,전주시 완산구 거마평로 122,돈가스,"5,000",224-9529,,,2020.11.1
제일크리너스샵,권기호,전주시 덕진구 쪽구름로 19,양복,"6,000",211-2177,,,2020.11.1
하얀세탁나라,이승우,"전주시 덕진구 가리내로550(송천동1가, 한양아파트 상가 1층)",양복(1벌),"6,000",902-4555,,,2020.11.1
수제왕돈가스,한미희,전주시 완산구 충경로 84,기본돈가스,"5,000",282-8855,,,2020.11.1
야미,김수경,"전주시 덕진구 권삼득로 333, 121호",수제돈까스,"4,900",277-6678,,,2020.11.1
빵굽는나라,우효숙,전주시 완산구 팔달로 263,도너츠3개,"1,000",275-2974,,,2020.11.1
1500짜장집,강성진,전주시 완산구 거마산2길 8,짜장면,"3,000",287-1500,,,2020.11.1
중본이쟁반짜장,김종복,전주시 완산구 공북로71,짜장면,"3,000",271-2223,,,2020.11.1
한들각중화요리,안준용,전주시 완산구 안행로 112,짜장면,"3,000",232-0317,,,2020.11.1
갈비전문점 엘에이 반월직영점,김현숙,전주시 덕진구 쪽구름로 138,돼지갈비(350g),"13,000",213-8822,,,2020.11.1
녹색불고기,이현자,전주시 덕진구 송천1길 3-1,김치찌개,"6,000",272-0627,,,2020.11.1
돼지한마리,오진정,전주시 완산구 현무1길 38-18,돼지한마리 750g,"39,000",231-0880,,,2020.11.1
두레박콩나물국밥,이미숙,전주시 완산구 평화18길 30-26,비빔밥,"6,000",223-3119,,,2020.11.1
만남의집,전주헌,전주시 완산구 서학로 28-1,옻닭,"40,000",287-5589,,,2020.11.1
맛자랑 팥고향집,김성환,전주시 완산구 서학로 32-4,손칼국수,"4,000",231-0993,,,2020.11.1
부잣집,이영두,전주시 덕진구 도당산로 70,토종옻닭(大),"24,000",244-5656,,,2020.11.1
서도비밥,강완상,전주시 완산구 용머리로 36 서도프라자6층,삼계탕,"10,000",223-7153,,,2020.11.1
서신정,양수정,전주시 완산구 감나무4길 26,제육볶음,"7,000",277-3455,,,2020.11.1
섬진강백반,최숙현,전주시 완산구 꽃밭정로 13,김치찌개,"5,000",226-6809,,,2020.11.1
세은이네집,김영숙,전주시 완산구 풍남문3길 13,국수,"3,900",283-3376,,,2020.11.1
시래청,김영열,전주시 완산구 홍산3길 9,시래기국밥,"8,000",227-0304,,,2020.11.1
신뱅이,안명자,전주시 완산구 경기전길 153-9,콩나물국밥,"7,000",282-3030,,,2020.11.1
아중고기마트 중화산점,장홍혁,전주시 완산구 한두평4길 6,육회비빔밥,"6,000",244-9474,,,2020.11.1
오늘의 행복 교대점,김현장,전주시 완산구 장승배기로 405,삼겹살(600g),"30,000",288-5292,,,2020.11.1
이래면옥,최정희,전주시 완산구 동문길 103,갈비탕,"8,000",288-6644,,,2020.11.1
자유식당,한남이,전주시 완산구 풍남문3길 25(전동),청국장,"5,000",286-1986,,,2020.11.1
전원갈비,박명옥,전주시 완산구 서신천변로 57,우렁쌈밥,"6,000",242-8560,,,2020.11.1
지정회관,김금숙,전주시 완산구 서학로 27,삼겹살(200g),"12,000",288-2553,,,2020.11.1
지평선 한돈 전주점,김수진,전주시 덕진구 시천로 110-6,삼겹살(160g),"10,000",273-3392,,,2020.11.1
청라회관,소호,전주시 완산구 노송여울2길 10,돌솥비빔밥,"7,000",286-3044,,,2020.11.1
해든마루,김미자,전주시 완산구 메너머3길 13-4,백반,"6,000",223-1311,,,2020.11.1
도나돈아,반창인,전주시 완산구 서신천변10길 12-8,오겹살(500g),"20,000",255-9299,,,2020.11.1
한일옥,양권호,전주시 완산구 중산중앙로 29,한우육회비빔밥,"6,000",222-3118,,,2020.11.1
또또분식,이경하,전주시 덕진구 삼송3길 14,떡볶이 ,"3,500",-,,,2020.11.1
또와분식,임종환,전주시 완산구 태평5길 41-5,찹쌀도너츠3개,"1,000",-,,,2020.11.1
신진미감자탕,김동연,전주시 완산구 거마평로 145,뼈다귀탕(뚝배기),"6,000",224-9229,,,2020.11.1
갈비전문점 엘에이 평화직영점,유동석,전주시 완산구 모악로 4701,돼지갈비(350g),"13,000",227-9978,,,2020.11.1
