연번,사업장명칭,주사육업종,사육두수,사업장소재지(지번),비고,
1,병길농장,한우,60,전라북도 전주시 덕진구 반월동 612번지 23호  ,,
2,현승농장,육계,"35,000",전라북도 전주시 덕진구 금상동 1177번지  ,,
3,동우농장,돼지,"3,500",전라북도 전주시 덕진구 남정동 348번지 6호  ,,
4,예지농장,육계,"50,000",전라북도 전주시 덕진구 남정동 338번지 9호  ,,
5,부일농장,젖소,75,전라북도 전주시 덕진구 도덕동 275번지 3호  ,,
6,에이원농장,한우,90,전라북도 전주시 덕진구 남정동 500번지 1호  ,,
7,진영농장,육계,50,전라북도 전주시 완산구 삼천동3가 747번지 4호  ,,
8,문정목장,한우,20,전라북도 전주시 완산구 평화동3가 327번지  ,,
9,대열농장,한우,17,전라북도 전주시 덕진구 원동 508번지 5호  ,,
10,벧엘농장,염소,70,전라북도 전주시 덕진구 원동 523번지 1호  ,,
11,화전농장,한우,15,전라북도 전주시 덕진구 화전동 74번지 5호  ,,
12,삼화농장,한우,21,전라북도 전주시 덕진구 고랑동 498번지 2호  ,,
13,범일농장,한우,152,전라북도 전주시 덕진구 고랑동 493번지 2호  ,,
14,백석농장,한우,36,전라북도 전주시 덕진구 전미동1가 565번지 20호  ,,
15,삼화목장,한우,112,전라북도 전주시 덕진구 고랑동 995번지  ,,
16,도강농장,한우,18,전라북도 전주시 덕진구 강흥동 125번지 7호  ,,
17,북전주 한우농장,한우,50,전라북도 전주시 덕진구 반월동  ,,
18,곡천농장,한우,6,전라북도 전주시 덕진구 화전동 1118번지  ,,
19,전북대학교 농업생명과학대학 부속동물사육장,한우,7,전라북도 전주시 덕진구 금암동 663번지  ,,
20,전북대학교 농업생명과학대학 부속동물사육장,육계,"1,500",전라북도 전주시 덕진구 금암동 663번지  ,,
21,전북대학교 농업생명과학대학 부속동물사육장,돼지,3,전라북도 전주시 덕진구 금암동 663번지  ,,
22,용정농장,한우,9,전라북도 전주시 덕진구 용정길 105 (여의동),,
23,옛살비농장,육계,100,전라북도 전주시 덕진구 장동 929번지 19호  ,,
24,한아름,한우,33,전라북도 전주시 덕진구 전미중앙로 163-61 (전미동2가),,
25,덕암농원,육계,30,전라북도 전주시 완산구 용복동 501번지 1호  ,,
26,만성농장,산양,332,전라북도 전주시 덕진구 장동 688번지 1호  ,,
27,철이축산,한우,100,전라북도 전주시 덕진구 용정동 284번지 8호  ,,
,,,,,,
,,,,,,
,,,,,,
