전주시시설관리공단 장사시설 현황 공개,
시설명,현황
"전주승화원
(공설화장장)",위치 : 전주시 완산구 콩쥐팥쥐로 1705-138
,"면적 : 5,610㎡? "
,화장로수 : 6기
,"1일화장능력 : 24기(1일 평균처리건수 : 사체 14건, 유골및사산아 12.5건)"
,"편의시설 : 429.90㎡(대기실, 분향실, 민원실, 식당 등)"
"전주효자공원봉안당
(공설봉안당)",위치 : 전주시 완산구 콩쥐팥쥐로 1705-138
,면적 : 496.80㎡(지상2층)
,"봉안능력 : 4,994기(봉안기수: 4,688기) ※ 무연고 유골 162기 별도보관 "
,봉안기간 : 15년(1회에 한하여 연장가능)
"전주효자공원봉안원
(공설봉안당)",위치 : 전주시 완산구 콩쥐팥쥐로 1705-138
,"면적 : 2,150㎡ "
,"봉안능력 : 10,016기(봉안기수 : 811기)"
,봉안기간 : 15년(1회에 한하여 연장가능)?? 
"전주효자공원
(공설묘지)",위치 : 전주시 완산구 콩쥐팥쥐로 1705-138
,"조성면적 : 94,957㎡"
,"매장능력 : 7,996기 (사용기수 : 5,999기)"
,사용자격 : 기 사용허가를 받은자
전주효자공원,위치 : 전주시 완산구 콩쥐팥쥐로 1705-138
,"조성면적 : 83,793㎡"
,"매장능력 : 총기수 - 9,194기(유연고 5,271 무연고 3,923)"
전주효자자연장,위치 : 전주시 완산구 콩쥐팥쥐로 1705-138
,"조성면적 : 3,000㎡(잔디장) "
,"매장능력 : 2,000기(매장 기수 : 539기)"
